Customer.ID,Total_Sales,Order_Count,Avg_Order_Value,Total_Profit,First_Order,Last_Order,Customer_Segment
AH-106903,710,7,101.43,154.83,2011-11-30,2013-12-17,Medium Value
AH-106904,7889,23,343.0,1298.02,2011-04-02,2013-11-16,High Value
AH-1201,1476,7,210.86,379.62,2012-04-10,2013-05-11,Medium Value
AH-1202,2,1,2.0,-3.38,2014-12-10,2014-12-10,Low Value
AH-1951,80,3,26.67,-99.29,2011-08-11,2012-02-14,Low Value
AH-1952,88,1,88.0,29.7,2011-08-09,2011-08-09,Low Value
AH-1953,2483,13,191.0,-681.56,2012-02-15,2014-03-28,High Value
AH-2101,3090,5,618.0,423.6,2011-08-13,2012-08-03,High Value
AH-2102,187,3,62.33,-220.89,2012-06-12,2013-09-30,Low Value
AH-301,5072,8,634.0,-576.62,2011-09-14,2013-09-19,High Value
AH-302,1248,4,312.0,426.12,2012-02-21,2013-06-03,Medium Value
AH-4651,540,5,108.0,129.84,2011-04-06,2014-05-04,Medium Value
AH-4652,112,2,56.0,-23.39,2011-06-23,2012-10-24,Low Value
AH-5851,889,3,296.33,416.67,2014-04-23,2014-05-27,Medium Value
AH-5852,1343,14,95.93,-264.95,2011-08-10,2014-10-17,Medium Value
AH-6901,948,7,135.43,-492.61,2011-02-11,2014-11-03,Medium Value
AH-6902,869,3,289.67,162.78,2012-04-02,2013-05-10,Medium Value
AH-751,3426,17,201.53,842.31,2011-11-01,2014-11-24,High Value
AH-752,137,1,137.0,54.9,2014-04-07,2014-04-07,Low Value
AH-753,45,2,22.5,18.78,2013-06-13,2013-06-13,Low Value
AI-108551,1859,7,265.57,266.59,2011-06-21,2014-02-26,Medium Value
AI-108552,2105,13,161.92,473.18,2011-10-06,2014-10-07,High Value
AI-108553,20,2,10.0,5.26,2014-06-06,2014-06-06,Low Value
AI-108554,4376,18,243.11,867.73,2011-04-28,2014-12-18,High Value
AI-8551,30,1,30.0,4.83,2013-06-19,2013-06-19,Low Value
AI-8552,891,9,99.0,-79.42,2011-05-30,2014-06-11,Medium Value
AJ-107801,5821,6,970.17,988.01,2011-12-16,2014-08-29,High Value
AJ-107802,3898,18,216.56,576.25,2012-10-30,2014-11-13,High Value
AJ-107803,601,13,46.23,69.27,2012-10-12,2014-10-31,Medium Value
AJ-107804,4868,15,324.53,150.71,2011-01-11,2014-10-17,High Value
AJ-107951,1209,9,134.33,209.39,2011-05-03,2014-10-30,Medium Value
AJ-107952,2249,12,187.42,384.97,2011-06-01,2014-07-31,High Value
AJ-107953,930,9,103.33,108.03,2011-12-26,2014-06-25,Medium Value
AJ-107954,4501,21,214.33,1158.71,2011-05-14,2014-07-18,High Value
AJ-109451,2329,13,179.15,395.51,2011-10-04,2014-10-01,High Value
AJ-109452,3402,9,378.0,945.83,2011-11-27,2013-11-11,High Value
AJ-109453,3517,9,390.78,-294.84,2011-09-12,2014-12-03,High Value
AJ-109454,1839,10,183.9,521.14,2011-03-03,2014-10-07,Medium Value
AJ-109601,1709,6,284.83,135.91,2013-08-05,2014-11-13,Medium Value
AJ-109602,4502,16,281.38,914.07,2012-02-07,2014-06-07,High Value
AJ-109603,1792,11,162.91,408.27,2013-06-11,2014-11-10,Medium Value
AJ-109604,629,5,125.8,60.43,2011-09-14,2014-10-18,Medium Value
AJ-7801,1608,21,76.57,-811.6,2011-03-11,2014-06-03,Medium Value
AJ-7802,19,1,19.0,6.81,2013-06-06,2013-06-06,Low Value
AJ-7803,942,5,188.4,192.78,2011-08-23,2014-12-30,Medium Value
AJ-7951,1276,11,116.0,160.32,2011-06-11,2014-11-25,Medium Value
AJ-7952,2119,15,141.27,457.17,2012-06-06,2014-09-01,High Value
AJ-9451,3817,12,318.08,1272.98,2011-06-01,2014-09-18,High Value
AJ-9452,1045,3,348.33,166.08,2012-09-05,2014-01-25,Medium Value
AJ-9601,4071,14,290.79,1417.22,2011-03-03,2013-11-15,High Value
AJ-9602,556,8,69.5,-404.53,2011-03-23,2014-03-12,Medium Value
AM-103601,3217,13,247.46,291.96,2011-05-11,2014-12-16,High Value
AM-103602,8940,21,425.71,2375.5,2011-02-21,2014-12-10,High Value
AM-103603,3759,19,197.84,-113.97,2011-09-30,2014-09-26,High Value
AM-103604,813,12,67.75,194.99,2011-10-06,2014-12-03,Medium Value
AM-107051,11719,24,488.29,-250.29,2011-08-31,2014-02-12,High Value
AM-107052,6094,17,358.47,1797.75,2011-10-12,2014-12-06,High Value
AM-107053,742,8,92.75,95.45,2011-05-03,2014-08-15,Medium Value
AM-107054,5665,22,257.5,1085.73,2011-10-31,2014-07-22,High Value
AM-3601,435,7,62.14,-94.68,2012-09-15,2014-06-24,Low Value
AM-3602,1601,5,320.2,324.06,2012-12-22,2014-07-09,Medium Value
AM-7051,867,5,173.4,297.96,2012-09-11,2014-08-17,Medium Value
AM-7052,24,1,24.0,9.72,2013-12-19,2013-12-19,Low Value
AM-7053,411,2,205.5,202.26,2012-07-23,2012-07-23,Low Value
AO-108101,7085,22,322.05,-88.95,2011-12-09,2014-11-25,High Value
AO-108102,5657,23,245.96,786.61,2011-08-30,2014-06-26,High Value
AO-108103,1636,7,233.71,318.64,2011-10-22,2014-09-01,Medium Value
AO-108104,161,1,161.0,12.1,2013-08-17,2013-08-17,Low Value
AO-8101,24,2,12.0,-32.46,2014-12-24,2014-12-24,Low Value
AO-8102,386,2,193.0,90.21,2014-01-24,2014-01-24,Low Value
AO-8103,76,3,25.33,6.96,2013-09-24,2014-08-28,Low Value
AP-107201,9040,23,393.04,1631.82,2011-11-25,2014-11-17,High Value
AP-107202,1763,2,881.5,324.6,2014-09-16,2014-11-15,Medium Value
AP-107203,2919,8,364.88,695.25,2012-07-27,2014-07-05,High Value
AP-107204,1639,19,86.26,285.79,2011-03-03,2014-11-20,Medium Value
AP-109151,9049,21,430.9,1413.63,2011-09-14,2014-10-16,High Value
AP-109152,1435,7,205.0,-0.96,2011-01-04,2014-08-22,Medium Value
AP-109153,2070,10,207.0,428.12,2012-06-18,2014-02-17,High Value
AP-109154,3324,31,107.23,579.31,2011-08-23,2014-09-24,High Value
AP-7201,423,8,52.88,119.68,2011-03-03,2014-11-24,Low Value
AP-7202,576,3,192.0,-64.38,2014-06-25,2014-08-26,Medium Value
AP-9151,2151,14,153.64,685.05,2012-11-20,2013-09-24,High Value
AP-9152,517,4,129.25,32.46,2012-12-18,2014-09-30,Medium Value
AR-103451,4462,21,212.48,1030.91,2011-06-10,2014-09-20,High Value
AR-103452,7043,16,440.19,771.62,2012-11-08,2014-12-02,High Value
AR-103453,1607,6,267.83,102.45,2011-06-03,2014-02-19,Medium Value
AR-103454,1056,5,211.2,-221.05,2011-12-30,2014-09-11,Medium Value
AR-104051,2010,7,287.14,-425.53,2011-06-22,2014-11-07,High Value
AR-104052,3532,20,176.6,-231.96,2011-01-26,2014-09-11,High Value
AR-104053,1182,9,131.33,172.77,2013-06-28,2014-08-09,Medium Value
AR-104054,2235,7,319.29,-98.76,2011-10-03,2014-08-28,High Value
AR-105101,6269,21,298.52,2109.06,2011-02-21,2014-05-08,High Value
AR-105102,6533,18,362.94,1173.99,2011-09-08,2014-10-30,High Value
AR-105103,1210,9,134.44,192.24,2011-12-01,2014-10-16,Medium Value
AR-105104,264,7,37.71,43.67,2011-05-02,2014-12-17,Low Value
AR-105401,1154,7,164.86,145.05,2011-11-30,2013-03-23,Medium Value
AR-105402,64,2,32.0,1.5,2011-04-28,2014-09-01,Low Value
AR-105403,157,4,39.25,19.74,2012-07-08,2013-11-11,Low Value
AR-105404,6609,9,734.33,2884.62,2011-11-25,2014-12-25,High Value
AR-105701,4880,15,325.33,929.76,2011-08-25,2014-12-29,High Value
AR-105702,1898,5,379.6,262.18,2012-12-17,2014-09-18,Medium Value
AR-105703,2581,11,234.64,360.26,2011-04-21,2014-12-29,High Value
AR-105704,88,2,44.0,32.63,2013-07-15,2013-07-15,Low Value
AR-108251,633,6,105.5,223.88,2013-02-12,2013-12-18,Medium Value
AR-108252,7720,25,308.8,1978.17,2011-05-13,2014-10-13,High Value
AR-108253,2435,15,162.33,131.22,2011-12-20,2014-12-09,High Value
AR-108254,4523,13,347.92,494.84,2011-06-30,2014-11-03,High Value
AR-3451,1243,6,207.17,230.64,2011-06-18,2013-02-04,Medium Value
AR-3452,1058,10,105.8,376.09,2011-03-30,2014-08-12,Medium Value
AR-4051,144,2,72.0,25.86,2011-03-31,2013-12-20,Low Value
AR-4052,426,5,85.2,5.34,2011-09-23,2014-05-23,Low Value
AR-5101,371,2,185.5,148.89,2013-02-22,2014-05-05,Low Value
AR-5102,2267,13,174.38,-106.09,2011-09-06,2014-09-18,High Value
AR-5401,325,7,46.43,108.66,2011-08-11,2014-05-24,Low Value
AR-5402,236,6,39.33,-20.49,2012-09-05,2013-11-29,Low Value
AR-5701,970,8,121.25,242.82,2012-03-26,2014-03-12,Medium Value
AR-5702,1075,9,119.44,167.0,2011-04-21,2014-10-22,Medium Value
AR-8251,1704,6,284.0,318.52,2012-03-29,2014-11-28,Medium Value
AR-8252,324,7,46.29,-28.97,2011-04-26,2014-10-18,Low Value
AS-100451,2056,5,411.2,257.63,2011-06-06,2014-10-16,High Value
AS-100452,6708,25,268.32,421.93,2011-03-21,2014-12-08,High Value
AS-100453,779,7,111.29,234.94,2012-05-29,2014-05-26,Medium Value
AS-100454,3051,10,305.1,-253.57,2011-07-27,2014-10-04,High Value
AS-100901,1502,8,187.75,208.88,2011-08-16,2014-11-08,Medium Value
AS-100902,4140,15,276.0,330.16,2011-05-21,2014-12-16,High Value
AS-100903,6112,16,382.0,741.38,2012-06-13,2014-06-23,High Value
AS-100904,3255,25,130.2,64.54,2011-09-22,2014-12-03,High Value
AS-101351,4430,24,184.58,515.82,2011-11-17,2014-09-06,High Value
AS-101352,2474,5,494.8,340.82,2012-07-12,2013-04-13,High Value
AS-101353,346,3,115.33,-128.19,2013-02-27,2014-05-10,Low Value
AS-101354,58,3,19.33,21.85,2013-11-14,2014-11-20,Low Value
AS-102251,9773,20,488.65,1572.65,2011-07-20,2014-10-21,High Value
AS-102252,6300,15,420.0,402.35,2012-05-31,2014-12-19,High Value
AS-102253,1031,14,73.64,23.88,2012-03-07,2014-09-17,Medium Value
AS-102254,4262,13,327.85,719.78,2011-10-18,2014-12-09,High Value
AS-102401,2374,11,215.82,341.46,2011-03-18,2014-12-10,High Value
AS-102402,3688,20,184.4,-49.38,2011-01-26,2014-11-18,High Value
AS-102403,2358,13,181.38,304.59,2011-12-12,2014-12-19,High Value
AS-102404,586,13,45.08,33.72,2011-03-15,2014-06-22,Medium Value
AS-102851,6388,18,354.89,835.57,2011-05-06,2014-08-15,High Value
AS-102852,4997,13,384.38,321.94,2012-01-28,2014-12-12,High Value
AS-102853,1584,14,113.14,282.73,2012-10-02,2014-12-13,Medium Value
AS-102854,3215,8,401.88,354.63,2013-05-22,2014-12-12,High Value
AS-106301,7447,11,677.0,2496.04,2012-03-08,2013-12-16,High Value
AS-106302,1455,7,207.86,539.57,2012-09-27,2014-11-26,Medium Value
AS-106303,80,1,80.0,22.26,2013-04-12,2013-04-12,Low Value
AS-106304,835,12,69.58,136.49,2011-08-01,2014-09-30,Medium Value
AS-1351,187,1,187.0,26.1,2012-05-09,2012-05-09,Low Value
AS-1352,3792,8,474.0,788.1,2012-09-11,2014-09-30,High Value
AS-2251,254,7,36.29,-244.3,2012-11-19,2014-12-29,Low Value
AS-2252,28,1,28.0,4.14,2013-12-12,2013-12-12,Low Value
AS-2253,189,3,63.0,25.14,2011-05-18,2013-03-01,Low Value
AS-2401,5,1,5.0,1.44,2011-09-21,2011-09-21,Low Value
AS-2402,1681,5,336.2,543.63,2012-05-28,2013-08-20,Medium Value
AS-2851,2059,17,121.12,515.59,2011-03-21,2014-05-23,High Value
AS-2852,2881,7,411.57,223.11,2011-08-17,2014-09-23,High Value
AS-451,1234,7,176.29,98.73,2012-04-28,2012-11-15,Medium Value
AS-452,379,6,63.17,-390.49,2014-05-12,2014-05-12,Low Value
AS-6301,1908,20,95.4,-1014.67,2011-02-04,2013-06-19,Medium Value
AS-6302,93,4,23.25,-88.64,2012-06-26,2014-11-28,Low Value
AS-901,436,7,62.29,76.31,2011-04-06,2014-12-10,Low Value
AT-104351,2779,12,231.58,502.08,2011-06-02,2014-08-27,High Value
AT-104352,6342,5,1268.4,1570.79,2013-01-18,2014-12-19,High Value
AT-104353,3364,14,240.29,843.15,2011-10-12,2014-12-15,High Value
AT-104354,1172,9,130.22,100.88,2011-11-24,2014-12-10,Medium Value
AT-107351,2586,8,323.25,778.53,2011-06-06,2014-10-15,High Value
AT-107352,4359,15,290.6,736.38,2012-08-23,2014-12-29,High Value
